comment,comment_target
well there are the places the nukes arent going to be at then,unknown
now all join in with the shirk mantra from ukraineby ukraineby ukraine for ukraine,ukraine
little britains real enemy rubber boat people not russia,russia
i am here from the government to help you,unknown
the push to control your drone starts here more gov poo poo,unknown
next fafo,unknown
you mean ufo cant seem to catch the proof,unknown
they are flying a bloody long way then who makes the batteries for them,unknown
departments are being asked to find cuts in order to pay wages the navy is having to get rid of ships businesses are being taxed into bankruptcy and people are being left to freeze because they cant afford the sky high bills we cant afford to fund a war with russia we are left with the damage that brexit has caused and we have no possibility of fixing that damage within the next 1020 years the patriotic brits putins useful idiots have crippled the country ffs hurry up trump end this war so we can all enjoy some stability both across europe and russia,russia
you forgot to say launching from ukraine targeted by uk and usa get it right or dont post misinformation,ukraine
show us the evidence this is just propaganda designed to escalate this proxy war these journalists should be ashamed of themselves for pushing for ww3,unknown
russia don t need to use drone to know where is military basethis country is full whit china people came on holiday they make a lot off picture i can bet russia know all the army base,russia
you should open up your boarders to more uk loyalists just sayin,unknown
silliness these drones have a range less than 10 kms,unknown
i seen a high speed low flying drone in warminster wiltshire yesterday though it was strange,unknown
dje is at it againgreat footage of london recently,unknown
if he attacks the uk will have nato and the most well trained army in the world and the sas,unknown
why should it necessarily be russian drones why could it not be the doings of iran iran has just as much a cause for sending out this swarms as russia,russia
report filmed by flying drone over base,unknown
uk wont strike back because the country is run by islam india blacks the 3 cultures who support putin britain imports all migrants illegals thousands of russians are in the uk ready to strike like islam is,russia
of you cant catch them and you dont know what they are howncan you say they are russian our country is making alot of enemies,russia
were is the proof this is just more bs scare propaganda to drive there own agenda as usual,unknown
well shut ur mouth if its not confirmed,unknown
so many fans of autocracy in the comments unimaginative lovers of putin if the russians cant get some drones in the air to harras the americans they really dont have much of an intelligence service,russia
hmmm i think i smell macca,unknown
why would russia send drones if russian why not capture one for study because they are not from earth and military fears retaliation if they capture one,russia
did those drone arrive in dinghys or busses,unknown
its a complete mystery,unknown
they are clearly not russian drones think rendelsham forrest incident december 1980,russia
just goes to show how many sleepers russia has around the world,russia
similar to what we heard before we invaded iraq a mass hysterics everywhere in the media,unknown
swarms,unknown
anything to make russia the global enemy and the real enemy is within our own government,russia
no evidence but look at the headline russia targets us airbase,russia
they livethey liewe can all see the west want russia gone so they lie lie lie which means the leaders of the west want ww3 to go with there planned nwo,russia
grow up constantly threatening the uk russian bots and anyone from uk supporting this hype were coming for u,russia
it seems u are the suspecious drone pilot haha,unknown
washington trying to set the stage for ww3causing as much conflict as possible before trump takes over,unknown
6,unknown
what do they need drones for when they have satellites,unknown
putin in uk,russia
i believe in europe and worldthan can make strong defence and world invest in defence and dont let russian ocupators to make trouble and destroy everything,russia
utterly ludicrous no koreans in ukraine british are in ukraine why would the two tier free gear harm us in uk by the rusty bear its well known rusks fly over north sea in uk airspace daily why are uk protecting usa mr t is putting sanctions on uk he is no friend if he charges uk whilst owning businesses here and expecting uk to protect him,ukraine
sabotage drones over uk airbases from russia i dont believe this story it sounds contrived doesnt make sense no reason for it all sounds odd,russia
same thing happened over stanstead airport several years ago they never found out who or what they were either,unknown
partizans dont want to go to war plus migrant army,unknown
identifiedno doubt by the big red stars painted on theirbacks saying russia,russia
201 a science program on tv made an anti drone system on the fly using an infra red tracking camera and a narrow beam rf jammer,unknown
oh no danny lindberg tell everybody at work so their informed,unknown
no proof yet the word russian gets to be capitalised in the titlethe sun just keeps on telling people how stupid it is,russia
why wasnt the operators captured cant be far away,unknown
cant we get tomcruse to sort it out,unknown
david and goliath,unknown
why are we even considering storing us nuclear weapons without any debate or consultation on raf bases in the first place noone wins a nuclear war,unknown
why are we protecting the us air bases get the yanks to protect their own bases or close them why should we protect yanks in any way they wouldnt as sown by their past 200 years and the constant badmiuthing from yanks too,unknown
where r drones coming from geographically,unknown
think they meant to spell fierce,unknown
maybe to destabilise american bases and thus ultimately target a weakened uk,unknown
watch it be dj audits and his mates,unknown
weve had years of lessons from the ukraine war now so we should be well prepared but we arent,ukraine
the word sabotage was used with no evidence b,unknown
so no actual evidence this is fear mongering if the western military is only now blocking drones then there should be an inquiry into military incompetence,unknown
sun always lying and spreading propaganda and hatred,unknown
couple of teenagers having a laugh round the corner,unknown
drones shut down gatwick a few years back was that the russians,russia
was biden s turkey lost in witehause,unknown
carrier aircraft aican 5000 nuclear bombs keep the entire planet 1020 degrees celsius cooler for 10 years are there any other survival options other than hiding in an underground shelter and eating canned food for 15 yearsrdrop swarm drones,unknown
what sabotage or attack,unknown
what propaganda where is the proof,unknown
iran supply russia with super swarn drone alqaeda operated it,russia
all according to script theyre staging for ww iii warmongering at its finest,unknown
fear swarms as russian learn to english please,russia
uk needs to mind their business and russia do what they want,russia
read earlier there was nothing sinister about them,unknown
a bunch of teens flying drones they purchased from temu nothing interesting,unknown
spy vs spy mad magazine 1960 nothing much has changed with military counter measures except the price chinarussia have major programs to capture the military secrets of their enemies us as do we in the west we wont hear about the good stuff on the internet as it should be,russia
are this ali express drones they go really far10000 km,unknown
uk usa using scare mongering tactics to escalate war,unknown
its bizarre why they dont say the obvious conclusion russian operatives are somewhere in the uk theyre acting like these drones have flown across europe,russia
will be the americans themselves friendly flier they call it,unknown
so the best uk drone dropping tech has failed to influence a single dronein a swarm of dronesi would conclude that we need better techor pray that 1 falls on its own so we can study itsensible move by russiaif it is them,russia
utter gaebage,unknown
we can all go out and play drone hunt if we get a legal fire arms for anti drones nintendo might do drone hunt as a sequel to duck hunt,unknown
the best counter drone technology,unknown
i dont think its russia or human,russia
what a lot of rollocksim talking about the deployed boys brigade called the raf regvarnie good a drill,unknown
sounds to me like a scaremongering story probably kids playing with their toys and the sun being the sun its probably bullshiiii,unknown
sun reporting living up to its pathetic reputation,unknown
i dont believe drones flying from russia then flying back again why fly drones to the airforce base to do what,russia
dj audits give it a rest,unknown
lies,unknown
i can foresee putins end if swords are drawn from europe,russia
letting all these immigrants in during this situation with russia and everything else going on around the world is stupidenforce our shores send them all back keep our country safe in so many ways doing that,russia
soak it up guys,unknown
bs,unknown
always russia involved funny,russia
we dont buy it anymore whats actuslly happening behind closed doors that you so desperately want to fear monger us into not thinking about,unknown
even if this were true it would seem a response to a provocation by the uk and the us its one thing for us to have been supplying weaponry for defence but quite another matter to have supplied long range missiles thats how proxy wars cease being done by proxies,unknown
drones,unknown
russia,russia
its coming world war 3 think i need to invest in a bunker i wonder if the dwp will give me a loan,unknown
modern british government is like an evil midget with disease of imperialism think about own people first not about wars you cant win,unknown
mi5 story time for gullible childrenwmds anyone,unknown
lets say estonia been given nukes by russians shoot it at uk of course you wont blame russia same logic applies to ukraine stpd media,"russia, ukraine"
then move them out,unknown
we cant even control or patrol our borders what chance against stuff in the air incompetence all over the uk,unknown
just as well starmer cancelled defence spending to help his communist mates,unknown
so much media nonsense just to hype support for war against non nato friends like 2014 minsk lies from eu usa uk nato full of wmd in iraq such lies by the colonial west,unknown
bs stop the misinformation,unknown
false flag clear as day,unknown
comparison of Putin to Hitler is gay sparkly fairy,russia
probably russian sleepers inside the uk and they probably come on small boats and they probably living in a hotel so probably flying it from there only in the uk,russia
i see plenty strange stuff at night now over my house in norfolkuaps,unknown
funny everything is russias fault just before trump gets inorgerated in january stop being gaslit people you fell for the jabby jabby dont make the same mistake,russia
spoken like a robot does he speak to his family like this,unknown
war dogs are making up stories maybe nikkis handiwork,unknown
is this journo one of gods chosen,unknown
what do we expect when heir starmer is helping to send missiles into russia,russia
have some pride and dignity in your work that puts food on the table report news not propaganda or get another job,unknown
death star is better could be over in a blink,unknown
some guy practicing for his drone show is sweating bullets right now,unknown
ufos have always been spotted around nuclear missile sites,unknown
swarms sure,unknown
what if they carry chemicals virus,unknown
your saying the same as what you said in 1980 at raf bentwaters,unknown
what evidence supports claims of russian involvement it appears that mainstream media is collaborating with political elites to generate public support for a heightened military engagement in ukraine there is a systematic effort to depict russia as a principal adversary to the current administration thereby framing it as an impediment to national security this narrative effectively rationalises the deployment of young soldiers into active conflict zones serving to further imperialistic ambitions and reinforce us military supremacy and hegemony in eastern europe,"russia, ukraine"
by starmer,unknown
is 100logistically is russia nato and usa scared russia,russia
send american planes back before trump gets in and has uk nukes use wind power water power and forget oil then russia has no interest in uk get usa out now before they destroy us all,russia
by horse and carriage,unknown
to the sun news stop spreading bs,unknown
its the battle of the drones,unknown
how can a drone fly from russia to the uk then fly back to russia,russia
agents in the uk,unknown
i smell,unknown
i guess if a man lives long enough he gets to hear it all russian ya right,russia
atacms ballistic missile and storm shadows cruise missiles with a range less than 300km are longrange russian icbm with range of 3000km is a mediumrange someone is exaggerating a little or dont know what they are talking about,russia
are you awash with spies with toy drones lasers,unknown
geezdont give them any ideas eh,unknown
good ol mach 35 drones that take 500g turns,unknown
slava brics,unknown
after putin successful tested oreshnik in ukraine the west always reporttalk nonsenserubbish in yt,"russia, ukraine"
mystery drones wonderful,unknown
better than russia doing this would be the brits sabotaging all this material,russia
try journalismthis 5 eyes aggression for its american and city of london led neocon corporatocracy is sold by these vassal msm lies and propaganda it will result in armageddon the people havent voted for it and theres no threat except from the western cabal,unknown
liar,unknown
fear drama love it,unknown
what a load of bull how did the drones make it from russia sounds like to me there trying to make an excuse to start something good luck cause the people will not fight for this country or starmer,russia
those drones must have some range may be its the aliens hey hmmmmmmmmmmmm,unknown
this is hilarious,unknown
if were only worrying about this now its already too late,unknown
russia about to bite more than they can chew,russia
why tf are there so much russian propaganda in these comments,russia
i do not want britain involved in a war with president putin we do not have anywhere near enough capability to fight the russians and my son will not be signing up before every pakistani in the land has gone to ukraine to fight,"russia, ukraine"
bualan di luar nalar media kehabisan fakta,unknown
here they go again false flags to justify war with the bear the sun please yr not reporting real news just twaddle,unknown
no russian drones found,russia
this propaganda is right up there with israeli hasbara,unknown
imagine being a russian military man telling a potential date that he worked on the troll desk while the actual men were on the front lines,russia
mildenhall dosnt have nukes,unknown
next move uks citizens prohibited from operating drones,unknown
oh shut uppathetic fear mongeringif you understand anything about nukes youll understand why they cant just go off even if attacked,unknown
the propaganda starts now first they will discredit russia then create panic in the masses of a russian threat then declare war or deployment if british troops ww3 is here,russia
sensation kremlin propaganda bs,russia
the push in media for russia to be responsible for everything as an excuse for war would be hilarious if it wasnt for the fact its clear there agenda is war,russia
utter crap,unknown
probably kids messing about plane spotters im one myself having spy on whats in at the bases if so nuisance and shouldnt be happening,unknown
think logically the russian has changed the drone warfare in ukrainian they have developed a anti jamming drone system so the drone cant be defected you guys need to watch the news whats going on we wont be able to jam that drone if its russia thats behind the spying,"russia, ukraine"
there are plenty of russian supporting country residents and propalestine people in the uk and illegal immigrants possibly criminals,russia
any wonder now uk and us is now at war,unknown
well theres a surprise starmer the halfwitt wants to send missiles in to russia what do you expect from them boxes of chocolates mabe its frightening the level of intelligence coming out of this guy,russia
its not your enemies these are the british people who are against their criminal government and the united snakes hegemony,unknown
all bs im glad im not alone with my thoughts think out side the box,unknown
great movie,unknown
who is pushing us to a war biden or putin,russia
this is all down to biden ans stamer there fault they allowed there weapons to be fired into russia thangs to them if we have a war,russia
f35s have been flying over my house tonight if there were drones airborne the air craft would have been grounded in case of collision,unknown
putin is in a not good behavior its stupid moves to sabotage military bases etc better be ready rather than a madman on the loose,russia
where are they being launched from how are russian agents getting free reign to launch drones from our country,russia
chinese collusion made in china advertised on youtube sold on ebay launched in some kids back garden,unknown
so comrade 2 tier kier authorised british missiles being used in ukraine and now were surprised that russia might be retaliating dumb doesnt even begin to cover it,"russia, ukraine"
hilarious 699 temu drones has worlds super power quaking inits boots i think if the local jails have jammers around them im sure us bases have it covered please gave us some real news,unknown
its a con,unknown
starmer needs to step down before he starts ww3,unknown
im sorry the us has no right to store there nukes or any nukes at there bases here in the uk this island doesnt belong to the usa just be lcouse we are a part of nato does not mean they can use uspas puppets for a another war the us probably wants,unknown
mflynn immediately dismiss biden leads us to world war iii in short the former national security advisor is referring to a huge criminal organization like spectre for those who watched the james bond movies which actually rules the united states and serves its own interests not those of the countryinterests that may even demand the destruction of the planet in a nuclear conflict in order to prevail over the radioactive remnants of humanityin the end the retired general asks everyone to pray for january 20 the day trump takes officeas he characteristically said this madness in ukraine must stop before world war iii becomes irreversible,ukraine
nhi are tracking every active nuke atm make of that what you will,unknown
wouldnt wipe my arse with the sun let alone read it,unknown
why does a foreign power have bases in our country,unknown
wow 4k miles on one duracell aaa,unknown
come englandchange dron licence to non out on the airtarget any dron around 1020 miles away from basesyou know better put this on real lifethe technology you got start use it special around your great britain your own country protection nr1,unknown
the sun is a propaganda machine and has no shame,unknown
ha ha ha amid growing fears of please state the names of the people who actually afraid and within whom this fear is growing so russian is flying dji drones thousands of miles drones dodging firstly ukraine and all the billions of dollars of anti aircraft that auntie drone technology then the rest of eastern europe followed by austria germany belgium and holland finally flying over the north sea into east anglia i must rush out and buy one i dont need the drone but man that battery life is fantasticill use it to power my offgrid cabin,"russia, ukraine"
waw so if drones get this close we are rucked if nucks come,unknown
why usa has 13 military airbases in the uk,unknown
uk should not be playing with fire ww3,unknown
fat pigeons,unknown
swarms of ai dronesits scary,unknown
stop using words like fears be responsible,unknown
the uk is causing this they poked the bear starmer you rat,unknown
probably birds,unknown
lol fool,unknown
russians have to be in the country and nearby to use them right lol and you cant tell me these drones are so hard to shoot down come on lol,russia
i think you are talking from your posterior given we are supposed to be primed for ww3 but you cant spot a bunch of drones near a military base oh dear c must try harder,unknown
source trust me bro,unknown
we should stop giving weapons to ukrain,unknown
ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha drones from russia in the uk ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha of course there are,russia
these drones are not from russia we have more chance getting invaded by aliens than we are russian spys with drones,russia
dont get sucked in we have laser weapons that could wipe out these drones,unknown
if putin was to offer 50 reduced energy costs hed have half the country vote for him,russia
full of jingoistic speculative crap,unknown
putin sat in russia with his joypad,russia
load of rubbish are we so stupid to fall for this my car would not start this morning i think russia may be involved,russia
could this be a precursor to a false flag operation,unknown
starmers done wonders in 4 months,unknown
wait and see what will happen in eu and uk soon russia is not afghanistan or irak they have the same technologies as nato does and some of them are even much more advanced this was an attack by nato on russia idiots,russia
when you dig into this story a bit you find that there is nothing to indicate russian involvement but that this has been happening for months in the us stretching back to 2023 langley edwards navy seal hq and an unnamed nuclear base near vegas have all sighted these drone swarms remember the balloon that flew half way across the us before being shot down just a suggestion but why not shoot down one of these drones and see if it has made in china written on it,russia
the biggest threat against us is our own government,unknown
probably these so called auditors,unknown
what is a longrange missile the hysteria about atacms and storm shadow anders puck nielsen u tube,unknown
the sun is basically the most trashy lousey propaganda maker the uk mainstream media has,unknown
we in the uk have had drones flying around airports in the past in fact previous instances not that long ago lead to changes in the law and requirements for drones over a certain size needing a licence to fly and markings to identify them all this piece amounts to with no data is propaganda its the russians it must be the russians bad russians,russia
aliens,unknown
this is total horse all uk airports and military bases have counter drone technology and gps blocking systems in place which prevents drones entering secure airspace,unknown
atacms is not long range wise up,unknown
please dnt mess with russia i dnt wana get nuked besides nobody respects our prime minister to fight for him,russia
how many times has our government told the people we are under threat just so they can start a war somewhere,unknown
if you live on the norfolk coast you know when the jet fighters go up day and night they have been up again and busy over a week ago we thought we were being invaded a squad of jet planes flew of the town and the whole town shook even made the daily rag,unknown
is it me or is the grammar correct,unknown
shut up,unknown
starmer is a communist he wants this,unknown
if they are russian why cant they shoot them downincursions over bases yet somehow they cant do anything about it in both the us and herethis seems bigger than russia,russia
i wonder why this could be happening its not like starmer has been provoking this,unknown
britain should stop interfering in other countries and instead focus on improving its own economy,unknown
no body cares,unknown
the west let putin grow big and fat no politicians had the far farsightedness to recognize this regime,russia
so far so good,unknown
probably kids,unknown
as if ivans sky bots are active over lakenheath etc grow up just locals messing about,unknown
self inflicted security issue allowing russian persons to work and live in our country what do you expect from our total lack of security we deserve our arses kicked alongwith all the boat arrivals for years tottally self inflicted look to parliament past and present,russia
sorry but why are uk troops being deployed they have their own security perhaps there are things going on at the bases is perhaps plane spotters journalists etc are trying to find out about building up of planes ready for nato strike on russia,russia
the headline is a bit dramatic and anyway russia have satellites if they want to look at us bases funny they havent been seen at raf fairford,russia
allies dont need drones unlike russia we have satellites that can tell if a russian sentry has dandruff or uses head and shoulders,russia
bs,unknown
how is this happening and where have they come from,unknown
oh dear dont look at satellite pictures when we can send drones from russia its a wonder uk never scrambled the raf to intercept them,russia
of course i always consult the sun as my goto news source whenever i want to find out if something is true or not and im not a loony at all,unknown
least its not missiles raining downyet,unknown
lies and more lies,unknown
joe biden is a disgusting man he has caused all this mess,unknown
if youre not sure who is behind the drones why even put russia in the title heres another title for you the sun suspected of fear mongering propaganda and misinformation one title is speculation and the other is the truthful,russia
blame russia for everything without any root whatsoever the title makes it look like it is definitely russia ffs im really getting tired of being told who to hate by the msm and the government its literally pathetic,russia
probably unloaded them from that russian ship that was stuck offshore,russia
propaganda bs to get people the stupid ones more accustomed to a possible attack on mainland britain probably also to test the water to see how much the stupid people will just consume media without checking,unknown
so we only have hearsay that small drones are flying near american airbase and we have to look for the baddy of the moment ffs get a grip,unknown
dj audits,unknown
ukraine gave the russians idea of using drones,"russia, ukraine"
on another note frankly does anyone believe the media anymore,unknown
on another note frankly does anyone believe the media anymore,unknown
false flag incoming,unknown
hopefully the us takes action before the treasonous goes into the office he is a disgrace to the united states,unknown
uk fear is growing why supporting usa is nonsense because if something happened the will far to be reach remember having usa military base in your country is a big risk to sink because they arent that strong we may be thinking please close that military base let them deal with their problems themselves they will never help us if things goes wrong unfortunately,unknown
drone seen in london,unknown
dont mess with the rock apes,unknown
yer right fear fear fear,unknown
putin has warned the uk and usa about giving ukraine the go ahead to use long range missiles on targets in russia biden is a idiot to give the green light on this russia is now eyeing up targets biden will be responsible for ww 3 i hope trump talks to putin starmer is like biden are stupid i dont agree with russia military aggression but to start a nuc war is insane obvious nato would respond,"russia, ukraine"
rubbish,unknown
are they serious about those things protecting a nuclear base omg the russians must be laughing their heads off,russia
our government are the baddies,unknown
the only war anyone in the uk is interested in fighting is against the immigrants,unknown
wow they really are clutching at straws next they will blame attacks from illegal aliens on russia,russia
b s,unknown
expel all russians from the uk now and no more visas for the fascists,russia
140 looks like shortcircuit character number 5 number 5 is defending us nuclear base were all safe,unknown
i wasnt aware that feltwell airbase was still active,unknown
how can us have airbase in uk did uk have airbase in the usa soon nigeria should have airbase also in the uk,unknown
best get them free drones off temu,unknown
i live in ipswich not far from 2 of these bases im off to lidl tomorrow to fill up my freezer,unknown
you poke the bear so what do you expect,unknown
this is the worst title wtf,unknown
britain is an american base and the real drones are in that place you call parliament taking in to another peasant culling war of the upperclass crass,unknown
looks like he is coming,unknown
why you always quick to blame russia we get tired of propaganda and narrative stuff,russia
stop with the propaganda bullshiti thought these sites were protected with anti drone dronescant trust msm,unknown
i believe the dragon fire laser is operational in a limited way would this not be a good testing ground,unknown
the comments from the russian bots they really are hilarious,russia
us bases should not be in the uk,unknown
theres no pictures of these drone swarms why theres plenty of people wandering about with camera phones even outside these bases theres usually a gaggle of them on the road at the end of the runways im pretty sure a drone swarm should be quite easy to track i mean the run out of power and have to go home,unknown
did they fly from moscow to the united kingdom,russia
ufos not from this world,unknown
if drones are flying over why are them not being shot down,unknown
its probably the uk,unknown
i dont think it is anything to do with russia in fact all cia and gchq bases are probably being watched by uaps or the old exspresion ufos i observed one recently near a base and it was nothing humans have got and i have seen alot of aircraft it was stealthy and let me see it and silent and could move instantly,russia
laughable drones powered by what exactly who ever made up this load of nonsense needs sacking immediately as you the sun are the terra its,unknown
obviously not rus just more fear mongering these drones have been intercepting military bases for quite some time all over the world if you havent already ask yourself why military are unable to intercept identify or take down these drones theyre supposed to be military yet they allow these to circle their bases doing whatever theyre doing uap until proven otherwise,unknown
false alarm omg the sky is falling must be self assembling nano bots,unknown
not confirmed also adds it right into the title to confuse people,unknown
uk and usa the most criminal countries ever in the world,unknown
its incredible how 8bn people can be fooled by words drones instead of ufo good job granma would not notice,unknown
the sun only wants to warmonger,unknown
the usa and uk are firing the missiles into ukraine check fast jets channel stop spreading nonsense that ukraine is programming and firing the missiles,ukraine
if they got that close we are genuinely screwedthey are obviously surveying the best possible damage on targets we are letting enemies fly remote control airplanes into our airbase without annihilating them immediately unfathomable,unknown
yet more lies and propaganda,unknown
who saw them where are the pictures if there were swarms it was hardly a covert operation,unknown
media lmao you lot are finished hurry up and get us a goverment who can get on with trump,unknown
and they expect us to believe this,unknown
russian are toothless,russia
err no,unknown
i heard them,unknown
is uk also has a military base in the usa if not its very stupid to support usa to remain a strong man in the word unfortunately,unknown
this channel is west propaganda news isnt it,unknown
this is aura for aura atp it may sound off topic but i chanced on this cool translator that does everything and more of what a translator should have name is immersive translate and one thing that can really help is its new feature which lets you create a custom ai expert for translating anything thank me later its gold,unknown
slava ukraine,ukraine
viva ukraine,ukraine
feel sorry for ukraine,ukraine
im ashamed of my countrys participation in this war god forgive us,unknown
russian guys laugh and sing,russia
some married women are begging for half this dose woman you are lucky,unknown
why make sure they are equipped why enter a war that isnt even nato i get it now its a fight for your money invested under the table and power crooks,unknown
what a load of nonsense i dont know any english person who gave a toss about ukraine before this yet you promise them 3 billion of our cash per year leave them to it they got themselves into this mess let them find a way out,ukraine
one month to go if putin did not change or stop war he is getting out of russia,russia
ucrania tem manda mais drones todos os dia sem tregua russia tem sofre na carne tambem slava ucraina,russia
i wish blacks in america were this intelligent,unknown
young dudes film and laugh they are just young dudes who dont need a war a senseless one at that,unknown
most atacms hit russia lies,russia
karma slava ukraine,ukraine
putin started this insanity putin should stop it,russia
russian terrorist putin kills civilians and ukraine attacks russian military targets and oil facilities sounds as though at least 5 hit that facility,"russia, ukraine"
glory to god almighty protect ukraine military forces in jesus christ name amen,ukraine
disband nato now,unknown
the russians seemed to think the strike was hilarious,russia
nato imdiat join ukraine,ukraine
putin its going to be over,russia
jeez,unknown
russia will long regret starting this war,russia
whats the heck is going onukraine experts found on north korean electronics missle circuits designed in usa and constructed in chinamalaysiarussia and koreaare our military missle secrets being sold to those countries by holders top secret files holders like biden obamaand earlier presidents,"russia, ukraine"
i cant believe really want war the world change accept and let us continue without problems sick people,unknown
thumbs up,unknown
i hope you are all stocked up on goods because this is ww3 and non of you see it,unknown
russia will respond to this and then the western media is going to be crying and wailing about more russian escalation youll see,russia
ucrania esta jugando con fuego real todo por el payaso de zelenski,unknown
they will be sorry,unknown
they where not storm shaddowwould of been massively more damaging effects than those little 5lbs drones,unknown
i wonder when putin will understand war will not work all russians want to be free without putin they can all be free,russia
the usa has the largest foreign debt in the world,unknown
democrats trying hard to start ww3 and stop trump from cleaning house,unknown
if youre cheering for ukraine as this attack worked no its not try escalate it like this the war will never end fkn stupid the only ones that benefit from this are those us military companies,ukraine
i would be in hiding if i was russian truly,russia
useless manwho are you deceiving putting is calling for negotiations and you are the ones not even talking and calling for negotiations liarsgod is watching you,unknown
putin is simply a psychopath he will be gone soon at the hands of the fsb he has weakened his country and its mythology to an all time low,russia
scare mongering for the establishment again are we the spun newspaper,unknown
west is losing power globally there getting so desperate that there pushing for nuclear war,unknown
kaluga oh blast,unknown
3 billion for bombs to kill but cuts to pentioners heating allowance that would otherwise save life sums this goofy character the vile goverment up completly,unknown
ooooo die russen haben eine drohne abgeschossen und es lauft alles nach plan die haben glaub zuviel vodka getrunken,unknown
3,unknown
notice how the ukrainian militarys primary targets have been military bases and oil fields and have not implemented scorched earth tactics against russian civilian housesapartment buildings schools churches hospitals business centers street markets etc even in the instances where there were some civilian casualties in a targeted area they were never the intended targets not to mention the fact that when ukrainians entered the civilian areas of russias kursk region they didnt maliciously gun down innocent civilians unlike what the russians did to civilians in bucha and other towns in ukraine,"russia, ukraine"
everyone needs to go to table or else we are all toast stop this senseless war,unknown
putin is attacking ukraine with foreign weapons so now he is reaping what he has sowed,"russia, ukraine"
god willing this ceasesits truly insane and demonstrates deconstructive mentality on both sides,unknown
russia will be a hole in two yearseconomy broken and citizens leaving in droves who wants to live therehell,russia
smh no words my lord,unknown
nonsense war hopefully they realize life is important to the family,unknown
ingin segera melihat berita tentang icbm di kiev,ukraine
it is us and the west fighting russia,russia
kremlin spokesmanour s400 shoot down successfully 100 out of 50 drones journalistwhat happened too others 50 drones we captured them successfully with own hands,russia
as usual the sun and the headlines lol,unknown
americas cowardly way of fighting russia,russia
did this stop the russian advance tho,russia
trump is coming to finish this war just wait guys,unknown
russian oil refineries wil continue to go boom until putin withdraws his troops and stops attacking ukraine russian civilians are beginning to realise this but it will take a bit more time for the penny to fully drop,"russia, ukraine"
los ukranianos son muy valientes,unknown
with us missiles what about with north korean soldiers because this unprovoked military aggression of ukraine has been going on for yearshow dare a country defend itselfukraine and the world should stand up to putin,"russia, ukraine"
atacms that contain bomblets burst open in the air releasing the submunitions which may account for claims of being shot down when they actually were not,unknown
i thought when they defeated hitler they were the good guys,unknown
biden and his administration are insane they will start ww3 right here for absolutely nothing,unknown
why target russias oil refinery as a defence ukraine was already targetting russian oil refineries its part of what started the conflict that preceded the military aggression which is now escalating to war do people not learn with their eyes and ears anymore how does one make a point to a blind deaf fool these days,"russia, ukraine"
does putin really thinks us and nato is afraid of his so called new missiles,russia
calm down and have a cup of tea lads ffs,unknown
are you using samsung,unknown
america is testing its weapons on russia using ukraine same using phillipines on china,"russia, ukraine"
ukraine officials should be charged with war crimes as well as the biden administration the amount of pollution this attack made is completely unacceptable not to mention how close these attacks are to innocent civilians,ukraine
sun is the dumbest news ever iv seen you find everything but real news real propoganda machine,unknown
bravo ukraina dont be afraid of putin he is just only human no mather how strong his weapon is with the spirit of god ukraina can defeat putin jesus christ bless ukraina,russia
russians are built different the way they laugh and sing while blast even citizens are not afraid of blast,russia
oh i tot russia can not be breach with their defenses,russia
latest headline from the mainstream media russia advancing in ukraine at fastest pace since early months of war hate all you want russia will win this war and you all know it,"russia, ukraine"
nato aggression expansion putin was right,russia
how does ukraine get longrange weapons when the port of odessa and roads connecting to poland romania moldova and airports with runways of 1200m or more cannot operate,ukraine
people in the comments laughing and cheering when ukraine does this but when russia hits back they cry,"russia, ukraine"
ukraine hits military targetsrussia hits civilianukraine won before it was all over,"russia, ukraine"
republicans came to power in the usa these are people who are known for their greed and desire to get rich they put pressure on the democrats which leads some of its members to think about suicide,unknown
slava ukraini,unknown
wars are a terrible waste of life pece if only,unknown
it is not us missiles those weapons have been given to ukraine and it is ukraines decision what to do with the tools,ukraine
heroyam slava,unknown
these wars are killing us all indirectly with all the smoke pollution damage to the ozone layer,unknown
and when trump defunds the war its over for the ukraine his weakness will be made into a mockery as he supports israels genocide of gaza and lebanon and makes war against iran for the greater israel project,ukraine
wont be any good untilthey drag everyone else intoit,unknown
london wait youll get one too,unknown
theres goes fuel prices again,unknown
343 so ukrainian drones can hit russian targets at a distance of 2 km 200 km or 2000 km,"russia, ukraine"
i wonder is ukraine a beneficiary of cop28 they sure care about the environment,ukraine
russian news all drones were destroyed by men trying to hit them with shovels,russia
please worship the creator of the universe the lord god and try not to worry too much about the differences between the different religions and denominations try to think about the similarities and the things they may have in common more than the differences daily prayer is a fundamental part that many people do not practice although it is encouraged creator of the universe lord god i beg you to never force me to worship any false god or object and i ask you for forgiveness for my sins and immorality thank you for everything amenplease pray this now pray the words as you read them if you cannot look and remember them and please know that daily prayer will give you the help that god wants you to have thessalonians 51618rejoice always pray without ceasing give thanks in all circumstances for this is the will of god in christ jesus for you daily prayer is the key to success in politics and much of life if only more would practice it,unknown
slava ukraini,unknown
the russians just laugh,russia
salvation found in jesus christ alone if you wanna be save do acts 238 give your life to jesus before it too late,unknown
in the event of ww3 most of africa will side with south africa who will bring us into the russian side via brics itll be an interesting war for our colonial masters if we go nuclear no one wins i hope common sense prevails america should listen to putin and back down and out of ukraine,"russia, ukraine"
523 whats that smokethermalir flares,unknown
